title,doi,doi_link,authors,venue,year,citation_count,abstract_summary,missing_files,source_csv,research_area,pdf_exists,md_exists,analysis_exists
"A Decision Support Tool for Distributed Solar and Storage Investments: A Case Study in Austin, TX",10.1115/imece2019-11068,https://doi.org/10.1115/imece2019-11068,"Arkasama Bandyopadhyay, Julia P. Conger, M. Webber, B. Leibowicz",Energy,2019,2,"A decision support tool to evaluate when it is economically optimal for residential customers to invest in distributed solar and storage based on electricity rates, ownership frameworks, and utility incentives.","PDF, Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,False,False,False
Demonstration of decision support for real time operation,-,-,"V. Catterson, S. Mcarthur, Minjiang Chen, Michael Pertl, Tor Inge Reigstad, R. Ciavarella, M. Somma, S. Riaño, M. Marinelli, Roberto Zuelli",-,2018,3,This paper describes a demonstration of a decision support system for real-time operation of distributed energy resources.,"Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,True,False,False
Integrating Smart Distributed Energy Resources with Distribution Management Systems,-,-,-,-,2012,23,The paper describes how Distribution Management Systems can integrate and utilize distributed energy resources to optimize distribution system performance.,"PDF, Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,False,False,False
Distributed energy resource demonstration R&D project report,10.1109/PES.2006.1709521,https://doi.org/10.1109/PES.2006.1709521,"H. Vollkommer, D.R. Fitchett, J. Kelly",IEEE Power Engineering Society General Meeting,2006,2,The paper describes a demonstration project to utilize distributed energy resources to reduce peak load and defer capital investment in distribution system upgrades.,"PDF, Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,False,False,False
"Beyond DERMS: Demonstration of Automated Grid Services, Mode Transition, and Resilience",10.2172/1862821,https://doi.org/10.2172/1862821,"R. Singh, P. Hines, Sarah Howerter, J. Reilly",-,2022,4,The paper demonstrates a holistic platform that supports the integrated operation and planning of future power distribution networks with diverse distributed energy resources.,"PDF, Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,False,False,False
Intelligent Decision Support System for Energy Management in Demand Response Programs and Residential and Industrial Sectors of the Smart Grid,-,-,-,-,2015,8,The paper proposes an intelligent decision support system to assist residential and industrial customers in managing energy demand and participation in demand response programs.,"Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,True,False,False
APPLICATION OF ASSISTED REALITY AT MAINTENANCE ACTIVITIES: E-REDES' PILOT PROJECT RESULTS,10.1049/icp.2021.2090,https://doi.org/10.1049/icp.2021.2090,"Bernardo Almeida, João M. Bolas, Ricardo J. Santos, João M. Teodoro, João Bento, Luís Matos, Eduardo Romão, Filipe Guerreiro",CIRED 2021 - The 26th International Conference and Exhibition on Electricity Distribution,2021,0,A pilot project evaluated the use of assisted reality technology for utility field maintenance activities.,"PDF, Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,False,False,False
GridSense Sologrid Pilot Project — Using decentralized artificial intelligence for making distribution grids resilient,10.1049/CP.2016.0750,https://doi.org/10.1049/CP.2016.0750,"Andreas Ulbig, Daniel Cajoos, Michel Gasche, Marc Laeser, S. Koch, René Hoffmann, R. Schärer, M. Staudinger, F. Ferrucci, G. Albisetti, D. Galli",-,2016,2,The paper describes a pilot project using decentralized AI for resilient distributed energy management in a residential distribution grid.,"PDF, Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,False,False,False
How disruptive artificial intelligence solutions can enhance safety of field operations in the electrical sector,10.1049/icp.2023.1158,https://doi.org/10.1049/icp.2023.1158,"A. Iaccarino, C. Gaitán Poyatos, F. Chiovoloni, N. González Gómez, S. d'Angelo, J. Petruzzi",27th International Conference on Electricity Distribution (CIRED 2023),2023,0,Enel is using AI to automatically recognize dangerous situations and risky behaviors during field activities in the electrical sector to improve worker safety.,"PDF, Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,False,False,False
FUSE – using artificial intelligence in the energy grid of tomorrow,10.1049/oap-cired.2021.0091,https://doi.org/10.1049/oap-cired.2021.0091,"T. Vögele, C. Backe, M. Bande, P. Conradi, P. Hovila, K. Kauhaniemi, H. Kumar, Timo Kyntäjä, Matti Rita-Kasari, Muhammad Shafiq, Stefan Werner, C. Wiezorek",CIRED - Open Access Proceedings Journal,2020,2,"The FUSE project is developing AI methods to increase the resilience of future energy distribution grids, including for condition monitoring and distributed demand-side management.","Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,True,False,False
Impact of Artificial Intelligence on the Planning and Operation of Distributed Energy Systems in Smart Grids,10.3390/en17174501,https://doi.org/10.3390/en17174501,"Paul Arévalo, Franciso Jurado",Energies,2024,5,"The paper discusses the impact of AI on planning and operation of distributed energy systems in smart grids, but does not specifically address AI assistance for utility field crews.","Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,True,False,False
Accelerating Artificial Intelligence on the Grid,10.1109/PSC50246.2020.9131317,https://doi.org/10.1109/PSC50246.2020.9131317,"S. Murphy, Kevin D. Jones, T. Laughner, M. Bariya, A. von Meier",Prague Stringology Conference,2020,2,"This project aims to accelerate the development and deployment of AI solutions for the electric grid by addressing gaps in data, tools, and people.","Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,True,False,False
Remote Assistance through Augmented Reality for the Electric Power Workforce,10.1109/ASIANCON51346.2021.9544556,https://doi.org/10.1109/ASIANCON51346.2021.9544556,"Paula Zenni Lodetti, D. V. João, M. A. Martins, J. F. B. Almeida",2021 Asian Conference on Innovation in Technology (ASIANCON),2021,2,The paper evaluates the use of augmented reality for remote assistance to improve the efficiency of the electric power workforce.,"PDF, Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,False,False,False
Towards an AI Assistant for Power Grid Operators,10.3233/FAIA220191,https://doi.org/10.3233/FAIA220191,"Antoine Marot, Alexandre Rozier, Matthieu Dussartre, Laure Crochepierre, Benjamin Donnot",HHAI,2020,9,The paper proposes an AI assistant framework to help power grid operators manage the increasing complexity of power grids.,"PDF, Markdown, Analysis",Elicit - Pilot projects evaluating AI assistance for utility field crews managing distributed energy.csv,3.1.2-industry-academia-collaborative,False,False,False
Workforce development for the future grid to enable sustainable energy systems,10.1109/PESGM.2012.6344849,https://doi.org/10.1109/PESGM.2012.6344849,C. Singh,IEEE Power & Energy Society General Meeting,2012,2,The paper outlines a workforce development initiative to educate the workforce needed for the future grid to enable sustainable energy systems.,"PDF, Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,False,False,False
Energy Efficiency Industry Trends and Workforce Development in Washington State,-,-,"A. Hardcastle, Stacey Waterman-Hoey",-,2009,3,"The paper discusses trends and workforce development needs in the energy efficiency industry in Washington state, driven by growth in demand for energy efficiency.","Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,True,False,False
"Building a More Diverse, Equitable, and Inclusive Energy Efficiency Workforce",10.2172/1861407,https://doi.org/10.2172/1861407,"Sarah Truitt, Juliana Williams, Ardelia Clarke",-,2022,2,The paper identifies key factors for creating successful workforce development and inclusion programs to support the building industry's future.,"PDF, Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,False,False,False
A National Skills Assessment of the U.S. Wind Industry in 2012,10.2172/1086363,https://doi.org/10.2172/1086363,"M. Levanthal, S. Tegen",-,2013,6,This study provides insights into the current and projected workforce needs of the U.S. wind industry to inform workforce development decisions.,"PDF, Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,False,False,False
An Updated Review of the Solar PV Installation Workforce Literature,10.2172/1971876,https://doi.org/10.2172/1971876,"Sika Gadzanku, A. Kramer, Brittany Smith",-,2023,1,"This review examines the existing literature on the solar PV installation workforce, including metrics, workforce wellbeing, relevant policies, and efforts to expand workforce participation.","PDF, Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,False,False,False
Introduction to Workforce Development Energy Futures Grant,10.2172/2481052,https://doi.org/10.2172/2481052,Allison Moe,-,2024,0,This presentation introduces workforce development efforts to support clean energy projects funded by the Energy Futures Grant.,"Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,True,False,False
"The Power and Energy Initiative at the University of Pittsburgh: Addressing the aging workforce issue through innovative education, collaborative research, and industry partnerships",10.1109/TDC.2010.5484264,https://doi.org/10.1109/TDC.2010.5484264,"G. Reed, W. Stanchina",IEEE PES T&D 2010,2010,5,The University of Pittsburgh's Power & Energy Initiative partners with industry to address the aging workforce issue in the power and energy sector through education and research.,"PDF, Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,False,False,False
Energy Efficiency Services Sector: Workforce Education and Training Needs,10.2172/983020,https://doi.org/10.2172/983020,C. Goldman,-,2010,17,This paper examines the workforce education and training needs for the energy efficiency services sector.,"PDF, Markdown, Analysis",Elicit - Industry-funded research on workforce development for distributed energy technologies.csv,3.1.2-industry-academia-collaborative,False,False,False
